bidding_exercise,category,month,year,quota_premium,adjusted_premium
2,Cat D: Motorcycles,Nov,2022,12589,13218.185636287275
1,Cat A: ≤1600cc or ≤97kW,Nov,2022,87235,91594.91810163797
1,Cat B: >1600cc or >97kW,Nov,2022,115388,121154.976900462
1,Cat C: Buses,Nov,2022,76302,80115.4976900462
1,Cat D: Motorcycles,Nov,2022,13189,13848.17303653927
2,Cat A: ≤1600cc or ≤97kW,Oct,2022,81089,85581.154816308
2,Cat B: >1600cc or >97kW,Oct,2022,110000,116093.76154341378
2,Cat C: Buses,Oct,2022,70201,74089.98321917446
2,Cat D: Motorcycles,Oct,2022,12801,13510.147650156727
1,Cat A: ≤1600cc or ≤97kW,Oct,2022,80501,84960.58089096684
1,Cat B: >1600cc or >97kW,Oct,2022,95856,101166.2146045952
1,Cat C: Buses,Oct,2022,65991,69646.75834555835
1,Cat D: Motorcycles,Oct,2022,11751,12401.979926333232
2,Cat A: ≤1600cc or ≤97kW,Sep,2022,84000,88702.09822701401
2,Cat B: >1600cc or >97kW,Sep,2022,108051,114099.40970865585
2,Cat C: Buses,Sep,2022,67001,70751.53908700198
2,Cat D: Motorcycles,Sep,2022,11589,12237.721623248397
1,Cat A: ≤1600cc or ≤97kW,Sep,2022,86000,90814.05294670482
1,Cat B: >1600cc or >97kW,Sep,2022,113000,119325.44166253076
1,Cat C: Buses,Sep,2022,64989,68626.91263899302
1,Cat D: Motorcycles,Sep,2022,11301,11933.60014361292
2,Cat A: ≤1600cc or ≤97kW,Aug,2022,87889,93211.36918018878
2,Cat B: >1600cc or >97kW,Aug,2022,112001,118783.54014211474
2,Cat C: Buses,Aug,2022,59090,62668.36355923215
2,Cat D: Motorcycles,Aug,2022,11101,11773.252730936472
1,Cat A: ≤1600cc or ≤97kW,Aug,2022,80000,84844.62827447237
1,Cat B: >1600cc or >97kW,Aug,2022,107001,113480.75087496023
1,Cat C: Buses,Aug,2022,56089,59485.62944108601
1,Cat D: Motorcycles,Aug,2022,11000,11666.13638773995
2,Cat A: ≤1600cc or ≤97kW,Jul,2022,78899,84081.8022933629
2,Cat B: >1600cc or >97kW,Jul,2022,110003,117228.99526834051
2,Cat C: Buses,Jul,2022,54889,58494.60761328275
2,Cat D: Motorcycles,Jul,2022,10910,11626.66780340168
1,Cat A: ≤1600cc or ≤97kW,Jul,2022,78001,83124.81350441196
1,Cat B: >1600cc or >97kW,Jul,2022,107800,114881.2822370945
1,Cat C: Buses,Jul,2022,54001,57548.27571507737
1,Cat D: Motorcycles,Jul,2022,10889,11604.288332836011
2,Cat A: ≤1600cc or ≤97kW,Jun,2022,74989,80399.91422751153
2,Cat B: >1600cc or >97kW,Jun,2022,106001,113649.6193845824
2,Cat C: Buses,Jun,2022,53011,56836.06733140346
2,Cat D: Motorcycles,Jun,2022,10302,11045.352203280798
1,Cat A: ≤1600cc or ≤97kW,Jun,2022,73801,79126.19277366785
1,Cat B: >1600cc or >97kW,Jun,2022,100684,107948.96536935779
1,Cat C: Buses,Jun,2022,53002,56826.41792645009
1,Cat D: Motorcycles,Jun,2022,10000,10721.561059290234
2,Cat A: ≤1600cc or ≤97kW,May,2022,68001,73633.20375523817
2,Cat B: >1600cc or >97kW,May,2022,95889,103831.03593897197
2,Cat C: Buses,May,2022,51501,55766.58617665212
2,Cat D: Motorcycles,May,2022,9490,10276.01217095646
1,Cat A: ≤1600cc or ≤97kW,May,2022,70901,76773.39714783814
1,Cat B: >1600cc or >97kW,May,2022,92090,99717.382594666
1,Cat C: Buses,May,2022,50890,55104.97991359054
1,Cat D: Motorcycles,May,2022,9489,10274.929345648667
2,Cat A: ≤1600cc or ≤97kW,Apr,2022,68699,74594.17787767245
2,Cat B: >1600cc or >97kW,Apr,2022,90002,97725.22449156868
2,Cat C: Buses,Apr,2022,52002,56464.37994722956
2,Cat D: Motorcycles,Apr,2022,9801,10642.040457343888
1,Cat A: ≤1600cc or ≤97kW,Apr,2022,72996,79259.91074627839
1,Cat B: >1600cc or >97kW,Apr,2022,98389,106831.92720718373
1,Cat C: Buses,Apr,2022,54901,59612.14806128322
1,Cat D: Motorcycles,Apr,2022,10503,11404.280269715626
2,Cat A: ≤1600cc or ≤97kW,Mar,2022,71556,78147.76388357997
2,Cat B: >1600cc or >97kW,Mar,2022,98889,107998.689455578
2,Cat C: Buses,Mar,2022,51504,56248.56659203844
2,Cat D: Motorcycles,Mar,2022,10501,11468.355812810572
1,Cat A: ≤1600cc or ≤97kW,Mar,2022,68501,74811.33620925026
1,Cat B: >1600cc or >97kW,Mar,2022,94889,103630.208048927
1,Cat C: Buses,Mar,2022,48889,53392.67187244035
1,Cat D: Motorcycles,Mar,2022,11400,12450.172008955387
2,Cat A: ≤1600cc or ≤97kW,Feb,2022,63000,69596.34122091866
2,Cat B: >1600cc or >97kW,Feb,2022,93590,103389.23134707584
2,Cat C: Buses,Feb,2022,46501,51369.8327478403
2,Cat D: Motorcycles,Feb,2022,10589,11697.708844258854
1,Cat A: ≤1600cc or ≤97kW,Feb,2022,60761,67122.9093480038
1,Cat B: >1600cc or >97kW,Feb,2022,86102,95117.20907624665
1,Cat C: Buses,Feb,2022,44001,48608.07317558162
1,Cat D: Motorcycles,Feb,2022,10010,11058.085327323744
2,Cat A: ≤1600cc or ≤97kW,Jan,2022,57898,64371.87996842445
2,Cat B: >1600cc or >97kW,Jan,2022,82001,91169.96319891488
2,Cat C: Buses,Jan,2022,43001,47809.168028640364
2,Cat D: Motorcycles,Jan,2022,10000,11118.152607762695
1,Cat A: ≤1600cc or ≤97kW,Jan,2022,57599,64039.44720545234
