"bidding_exercise","category","month","year","quota_premium","quota"
"1","Cat C: Buses","Jul",2021,38900,162
"1","Cat D: Motorcycles","Jul",2021,8502,616
"2","Cat A: ≤1600cc or ≤97kW","Jun",2021,47821,830
"2","Cat B: >1600cc or >97kW","Jun",2021,56032,809
"2","Cat C: Buses","Jun",2021,37000,238
"2","Cat D: Motorcycles","Jun",2021,8501,618
"1","Cat A: ≤1600cc or ≤97kW","Jun",2021,48510,858
"1","Cat B: >1600cc or >97kW","Jun",2021,60109,815
"1","Cat C: Buses","Jun",2021,37002,195
"1","Cat D: Motorcycles","Jun",2021,8703,626
"2","Cat A: ≤1600cc or ≤97kW","May",2021,41801,835
"2","Cat B: >1600cc or >97kW","May",2021,58089,817
"2","Cat C: Buses","May",2021,41701,164
"2","Cat D: Motorcycles","May",2021,8701,628
"1","Cat A: ≤1600cc or ≤97kW","May",2021,48002,832
"1","Cat B: >1600cc or >97kW","May",2021,60001,819
"1","Cat C: Buses","May",2021,43001,157
"1","Cat D: Motorcycles","May",2021,8011,650
"2","Cat A: ≤1600cc or ≤97kW","Apr",2021,49640,890
"2","Cat B: >1600cc or >97kW","Apr",2021,61190,956
"2","Cat C: Buses","Apr",2021,44001,262
"2","Cat D: Motorcycles","Apr",2021,8000,546
"1","Cat A: ≤1600cc or ≤97kW","Apr",2021,45600,883
"1","Cat B: >1600cc or >97kW","Apr",2021,52309,958
"1","Cat C: Buses","Apr",2021,36134,263
"1","Cat D: Motorcycles","Apr",2021,8000,560
"2","Cat A: ≤1600cc or ≤97kW","Mar",2021,44589,886
"2","Cat B: >1600cc or >97kW","Mar",2021,47001,946
"2","Cat C: Buses","Mar",2021,39589,292
"2","Cat D: Motorcycles","Mar",2021,7791,542
"1","Cat A: ≤1600cc or ≤97kW","Mar",2021,41996,887
"1","Cat B: >1600cc or >97kW","Mar",2021,45001,942
"1","Cat C: Buses","Mar",2021,37513,255
"1","Cat D: Motorcycles","Mar",2021,7752,542
"2","Cat A: ≤1600cc or ≤97kW","Feb",2021,41001,903
"2","Cat B: >1600cc or >97kW","Feb",2021,46002,942
"2","Cat C: Buses","Feb",2021,40890,259
"2","Cat D: Motorcycles","Feb",2021,7500,554
"1","Cat A: ≤1600cc or ≤97kW","Feb",2021,42000,885
"1","Cat B: >1600cc or >97kW","Feb",2021,46790,943
"1","Cat C: Buses","Feb",2021,45001,276
"1","Cat D: Motorcycles","Feb",2021,7506,572
"2","Cat A: ≤1600cc or ≤97kW","Jan",2021,40609,963
"2","Cat B: >1600cc or >97kW","Jan",2021,49001,1023
"2","Cat C: Buses","Jan",2021,35900,372
"2","Cat D: Motorcycles","Jan",2021,7501,529
"1","Cat A: ≤1600cc or ≤97kW","Jan",2021,40609,963
"1","Cat B: >1600cc or >97kW","Jan",2021,49001,1023
"1","Cat C: Buses","Jan",2021,35900,372
"1","Cat D: Motorcycles","Jan",2021,7501,529
"2","Cat A: ≤1600cc or ≤97kW","Dec",2020,40556,969
"2","Cat B: >1600cc or >97kW","Dec",2020,49300,1009
"2","Cat C: Buses","Dec",2020,35201,369
"2","Cat D: Motorcycles","Dec",2020,7689,530
"1","Cat A: ≤1600cc or ≤97kW","Dec",2020,40714,978
"1","Cat B: >1600cc or >97kW","Dec",2020,45012,1035
"1","Cat C: Buses","Dec",2020,32889,368
"1","Cat D: Motorcycles","Dec",2020,7670,526
"2","Cat A: ≤1600cc or ≤97kW","Nov",2020,37690,972
"2","Cat B: >1600cc or >97kW","Nov",2020,41101,1007
"2","Cat C: Buses","Nov",2020,30334,369
"2","Cat D: Motorcycles","Nov",2020,7300,537
"1","Cat A: ≤1600cc or ≤97kW","Nov",2020,35990,967
"1","Cat B: >1600cc or >97kW","Nov",2020,39000,1013
"1","Cat C: Buses","Nov",2020,31502,370
"1","Cat D: Motorcycles","Nov",2020,7251,533
"2","Cat A: ≤1600cc or ≤97kW","Oct",2020,37334,916
"2","Cat B: >1600cc or >97kW","Oct",2020,40990,793
"2","Cat C: Buses","Oct",2020,33778,316
"2","Cat D: Motorcycles","Oct",2020,7300,423
"1","Cat A: ≤1600cc or ≤97kW","Oct",2020,36534,912
"1","Cat B: >1600cc or >97kW","Oct",2020,40690,805
