"bidding_exercise","category","month_year","quota_premium","bid_to_quota"
"1","Cat A (Cars up to 1600cc and 97kW)","May 2004",27507,1.32012352032939
"1","Cat B (Cars above 1600cc or 97kW)","May 2004",26700,1.2762312633833
"1","Cat C (Goods vehicles and buses)","May 2004",13089,1.3062787136294
"1","Cat D (Motorcycles)","May 2004",803,1.79881656804734
"1","Cat E (Open)","May 2004",28000,1.32304725168756
"2","Cat A (Cars up to 1600cc and 97kW)","May 2004",27501,1.15675116399379
"2","Cat B (Cars above 1600cc or 97kW)","May 2004",27990,1.26072961373391
"2","Cat C (Goods vehicles and buses)","May 2004",11101,1.32963549920761
"2","Cat D (Motorcycles)","May 2004",801,2.53112840466926
"2","Cat E (Open)","May 2004",28101,1.44282945736434
"1","Cat A (Cars up to 1600cc and 97kW)","Jun 2004",28798,1.40744570837642
"1","Cat B (Cars above 1600cc or 97kW)","Jun 2004",30300,1.46638207043757
"1","Cat C (Goods vehicles and buses)","Jun 2004",9003,1.36279069767442
"1","Cat D (Motorcycles)","Jun 2004",1001,1.64484126984127
"1","Cat E (Open)","Jun 2004",30301,1.42732558139535
"2","Cat A (Cars up to 1600cc and 97kW)","Jun 2004",28331,1.18415637860082
"2","Cat B (Cars above 1600cc or 97kW)","Jun 2004",30400,1.30579399141631
"2","Cat C (Goods vehicles and buses)","Jun 2004",8989,1.2574568288854
"2","Cat D (Motorcycles)","Jun 2004",722,1.59866666666667
"2","Cat E (Open)","Jun 2004",29999,1.53883495145631
"1","Cat A (Cars up to 1600cc and 97kW)","Jul 2004",27769,1.12982998454405
"1","Cat B (Cars above 1600cc or 97kW)","Jul 2004",28990,1.22765957446809
"1","Cat C (Goods vehicles and buses)","Jul 2004",8626,1.26415094339623
"1","Cat D (Motorcycles)","Jul 2004",658,1.41889985895628
"1","Cat E (Open)","Jul 2004",28499,1.35542747358309
"2","Cat A (Cars up to 1600cc and 97kW)","Jul 2004",27019,1.08846352819452
"2","Cat B (Cars above 1600cc or 97kW)","Jul 2004",27001,1.18776824034335
"2","Cat C (Goods vehicles and buses)","Jul 2004",8503,1.32436708860759
"2","Cat D (Motorcycles)","Jul 2004",551,1.81510934393638
"2","Cat E (Open)","Jul 2004",27792,1.29252925292529
"1","Cat A (Cars up to 1600cc and 97kW)","Aug 2004",26298,1.10910031023785
"1","Cat B (Cars above 1600cc or 97kW)","Aug 2004",27086,1.16489361702128
"1","Cat C (Goods vehicles and buses)","Aug 2004",8192,1.26615384615385
"1","Cat D (Motorcycles)","Aug 2004",652,1.76620825147348
"1","Cat E (Open)","Aug 2004",27295,1.3150289017341
"2","Cat A (Cars up to 1600cc and 97kW)","Aug 2004",25797,1.15428276573787
"2","Cat B (Cars above 1600cc or 97kW)","Aug 2004",26301,1.12223393045311
"2","Cat C (Goods vehicles and buses)","Aug 2004",7300,1.22345483359746
"2","Cat D (Motorcycles)","Aug 2004",564,1.537109375
"2","Cat E (Open)","Aug 2004",26401,1.33268858800774
"1","Cat A (Cars up to 1600cc and 97kW)","Sept 2004",26801,1.35743801652893
"1","Cat B (Cars above 1600cc or 97kW)","Sept 2004",27799,1.29978586723769
"1","Cat C (Goods vehicles and buses)","Sept 2004",7500,1.17749603803487
"1","Cat D (Motorcycles)","Sept 2004",701,1.71709233791749
"1","Cat E (Open)","Sept 2004",27500,1.53249272550921
"2","Cat A (Cars up to 1600cc and 97kW)","Sept 2004",24189,1.09644146467251
"2","Cat B (Cars above 1600cc or 97kW)","Sept 2004",26101,1.20877944325482
"2","Cat C (Goods vehicles and buses)","Sept 2004",6797,1.12341772151899
"2","Cat D (Motorcycles)","Sept 2004",699,1.298
"2","Cat E (Open)","Sept 2004",26199,1.26336248785228
"1","Cat A (Cars up to 1600cc and 97kW)","Oct 2004",23001,1.23107411811336
"1","Cat B (Cars above 1600cc or 97kW)","Oct 2004",23001,1.31441048034935
"1","Cat C (Goods vehicles and buses)","Oct 2004",6300,1.17256637168142
"1","Cat D (Motorcycles)","Oct 2004",652,1.52662721893491
